dbo.customer_profiles.category  ->  dbo.customer_profiles_category.category  [fk__customer_profiles__customer_profiles_category__category, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.customer_profiles.profile  ->  dbo.customer_profiles_profile.profile  [fk__customer_profiles__customer_profiles_profile__profile, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.customer_profiles.type  ->  dbo.customer_profiles_type.type  [fk__customer_profiles__customer_profiles_type__type, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.DELETED_OLD_ORDERS_OEOO_2.oeoo_1_p_id  ->  dbo.DELETED_OLD_ORDERS_OEOO_1.p_id  [FK__DELETED_O__oeoo___7EA4354F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.DELETED_OLD_ORDERS_OEOO_P.oeoo_1_p_id  ->  dbo.DELETED_OLD_ORDERS_OEOO_1.p_id  [FK__DELETED_O__oeoo___008C7DC1, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.DELETED_OLD_ORDERS_OEOO_S.oeoo_1_p_id  ->  dbo.DELETED_OLD_ORDERS_OEOO_1.p_id  [FK__DELETED_O__oeoo___0368EA6C, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.DELETED_OLD_ORDERS_ORDERS.oeoo_1_p_id  ->  dbo.DELETED_OLD_ORDERS_OEOO_1.p_id  [FK__DELETED_O__oeoo___7BC7C8A4, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.DELETED_OLD_ORDERS_shipto.oeoo_1_p_id  ->  dbo.DELETED_OLD_ORDERS_OEOO_1.p_id  [FK__DELETED_O__oeoo___06455717, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.imported_and_deleted_orders_orders.last_action  ->  dbo.imported_and_deleted_orders_actions.action_code  [FK__imported___last___259E06DF, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.invoice_profiles.category  ->  dbo.customer_profiles_category.category  [fk__invoice_profiles__customer_profiles_category__category, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.invoice_profiles.profile  ->  dbo.customer_profiles_profile.profile  [fk__invoice_profiles__customer_profiles_profile__profile, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.invoice_profiles.type  ->  dbo.customer_profiles_type.type  [fk__invoice_profiles__customer_profiles_type__type, ondelete=NO_ACTION, onupdate=NO_ACTION]
