dbo.d03_tab.idnd01_d03  ->  dbo.d01_tab.idnd01_d01  [idnd01_d03, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.d03_tab.idnd02_d03  ->  dbo.d02_tab.idnd02_d02  [idnd02_d03, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.d04_tab.idnd01_d04  ->  dbo.d01_tab.idnd01_d01  [idnd01_d04, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.d04_tab.idnd03_d04  ->  dbo.d03_tab.idnd03_d03  [idnd03_d04, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k02_tab.idnk01_k02  ->  dbo.k01_tab.idnk01_k01  [idnk01_k02, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k04_tab.idnk01_k04  ->  dbo.k01_tab.idnk01_k01  [idnk01_k04, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k04_tab.idnk03_k04  ->  dbo.k03_tab.idnk03_k03  [idnk03_k04, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k05_tab.idnk02_k05  ->  dbo.k02_tab.idnk02_k02  [idnk02_k05, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k05_tab.idnk04_k05  ->  dbo.k04_tab.idnk04_k04  [idnk04_k05, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k10_tab.idnk31_k10  ->  dbo.k31_tab.idnk31_k31  [idnk31_k10, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k11_tab.idnk08_k11  ->  dbo.k08_tab.idnk08_k08  [idnk08_k11, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k11_tab.idnk09_k11  ->  dbo.k09_tab.idnk09_k09  [idnk09_k11, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k11_tab.idnk10_k11  ->  dbo.k10_tab.idnk10_k10  [idnk10_k11, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k11_tab.idnk21_k11  ->  dbo.k21_tab.idnk21_k21  [idnk21_k11, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k13_tab.idnk12_k13  ->  dbo.k12_tab.idnk12_k12  [idnk12_k13_fk, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k14_tab.idnk12_k14  ->  dbo.k12_tab.idnk12_k12  [idnk12_k14, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k15_tab.idnk08_k15  ->  dbo.k08_tab.idnk08_k08  [idnk08_k15, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k15_tab.idnk13_k15  ->  dbo.k13_tab.idnk13_k13  [idnk13_k15, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k18_tab.idnk16_k18  ->  dbo.k16_tab.idnk16_k16  [idnk16_k18, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k19_tab.idnk16_k19  ->  dbo.k16_tab.idnk16_k16  [idnk16_k19, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k19_tab.idnk17_k19  ->  dbo.k17_tab.idnk17_k17  [idnk17_k19, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k21_tab.idnk24_k21  ->  dbo.k24_tab.idnk24_k24  [idnk24_k21, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k21_tab.idnk25_k21  ->  dbo.k25_tab.idnk25_k25  [idnk25_k21, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k26_tab.idnk11_k26  ->  dbo.k11_tab.idnk11_k11  [idnk11_k26, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k26_tab.idnk22_k26  ->  dbo.k22_tab.idnk22_k22  [idnk22_k26, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k27_tab.idnk23_k27  ->  dbo.k23_tab.idnk23_k23  [idnk23_k27, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k28_tab.idnk27_k28  ->  dbo.k27_tab.idnk27_k27  [idnk27_k28, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k29_tab.idnk21_k29  ->  dbo.k21_tab.idnk21_k21  [idnk21_k29, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k29_tab.idnk27_k29  ->  dbo.k27_tab.idnk27_k27  [idnk27_k29, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k30_tab.idnk08_k30  ->  dbo.k08_tab.idnk08_k08  [idnk08_k30, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k30_tab.idnk13_k30  ->  dbo.k13_tab.idnk13_k13  [idnk13_k30, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k30_tab.idnk31_k30  ->  dbo.k31_tab.idnk31_k31  [idnk31_k30, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k31_tab.idnk12_k31  ->  dbo.k12_tab.idnk12_k12  [idnk12_k31, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k32_tab.idnk11_k32  ->  dbo.k11_tab.idnk11_k11  [idnk11_k32, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k34_tab.idnk11_k34  ->  dbo.k11_tab.idnk11_k11  [idnk11_k34, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k34_tab.idnk33_k34  ->  dbo.k33_tab.idnk33_k33  [idnk33_k34, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k35_tab.idnk34_k35  ->  dbo.k34_tab.idnk34_k34  [idnk34_k35, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k37_tab.idnk08_k37  ->  dbo.k08_tab.idnk08_k08  [idnk08_k37, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k37_tab.idnk36_k37  ->  dbo.k36_tab.idnk36_k36  [idnk36_k37, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k38_tab.idnk37_k38  ->  dbo.k37_tab.idnk37_k37  [idnk37_k38, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k39_tab.idnk12_k39  ->  dbo.k12_tab.idnk12_k12  [idnk12_k39_fk, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k40_tab.idnk08_k40  ->  dbo.k08_tab.idnk08_k08  [idnk08_k40, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k40_tab.idnk39_k40  ->  dbo.k39_tab.idnk39_k39  [idnk39_k40, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k41_tab.idnk36_k41  ->  dbo.k36_tab.idnk36_k36  [idnk36_k41, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k42_tab.idnk39_k42  ->  dbo.k39_tab.idnk39_k39  [idnk39_k42, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k42_tab.idnk41_k42  ->  dbo.k41_tab.idnk41_k41  [idnk41_k42, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k43_tab.idnk40_k43  ->  dbo.k40_tab.idnk40_k40  [idnk40_k43, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k43_tab.idnk42_k43  ->  dbo.k42_tab.idnk42_k42  [idnk42_k43, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k44_tab.idnk43_k44  ->  dbo.k43_tab.idnk43_k43  [idnk43_k44, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k45_tab.idnk37_k45  ->  dbo.k37_tab.idnk37_k37  [idnk37_k45, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k45_tab.idnk43_k45  ->  dbo.k43_tab.idnk43_k43  [idnk43_k45, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k47_tab.idnk46_k47  ->  dbo.k46_tab.idnk46_k46  [idnk46_k47, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k48_tab.idnk47_k48  ->  dbo.k47_tab.idnk47_k47  [idnk47_k48, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k49_tab.idnk46_k49  ->  dbo.k46_tab.idnk46_k46  [idnk46_k49, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k50_tab.idnk49_k50  ->  dbo.k49_tab.idnk49_k49  [idnk49_k50, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k51_tab.idnk21_k51  ->  dbo.k21_tab.idnk21_k21  [idnk21_k51, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k52_tab.idnk21_k52  ->  dbo.k21_tab.idnk21_k21  [idnk21_k52, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k52_tab.idnk51_k52  ->  dbo.k51_tab.idnk51_k51  [idnk51_k52, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k53_tab.idnk52_k53  ->  dbo.k52_tab.idnk52_k52  [idnk52_k53, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k53_tab.idnk54_k53  ->  dbo.k54_tab.idnk54_k54  [idnk54_k53, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k55_tab.idnk39_k55  ->  dbo.k39_tab.idnk39_k39  [idnk39_k55, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k56_tab.idnk43_k56  ->  dbo.k43_tab.idnk43_k43  [idnk43_k56, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k56_tab.idnk55_k56  ->  dbo.k55_tab.idnk55_k55  [idnk55_k56, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k57_tab.idnk56_k57  ->  dbo.k56_tab.idnk56_k56  [idnk56_k57, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k58_tab.idnk57_k58  ->  dbo.k57_tab.idnk57_k57  [idnk57_k58, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k59_tab.lftk12_k59  ->  dbo.k12_tab.idnk12_k12  [lftk12_k59, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k59_tab.rhtk12_k59  ->  dbo.k12_tab.idnk12_k12  [rhtk12_k59, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k60_tab.idnk39_k60  ->  dbo.k39_tab.idnk39_k39  [idnk39_k60, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k60_tab.idnk52_k60  ->  dbo.k52_tab.idnk52_k52  [idnk52_k60, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k62_tab.idnk61_k62  ->  dbo.k61_tab.idnk61_k61  [idnk61_k62_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k63_tab.idnk34_k63  ->  dbo.k34_tab.idnk34_k34  [idnk34_k63_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k63_tab.idnk62_k63  ->  dbo.k62_tab.idnk62_k62  [idnk62_k63_F, ondelete=NO_ACTION, onupdate=NO_ACTION]
